time,height,velocity,direction
0,0,3.2,45
0,100,4.1,50
0,200,5.0,60
0,300,6.2,65
0,400,7.0,70
0,500,8.1,80
0,600,8.8,85
0,700,9.4,90
0,800,10.0,95
0,900,10.5,100
0,1000,7.1,100
1,0,3.4,40
1,100,4.2,50
1,200,5.3,60
1,300,6.4,65
1,400,7.3,75
1,500,8.0,80
1,600,8.9,85
1,700,9.5,90
1,800,10.2,95
1,900,10.8,100
1,1000,7.1,100
2,0,3.1,50
2,100,4.0,55
2,200,5.2,60
2,300,6.1,70
2,400,7.2,75
2,500,8.0,80
2,600,8.7,85
2,700,9.3,90
2,800,9.9,95
2,900,10.6,100
2,1000,7.1,100
3,0,3.3,40
3,100,4.3,50
3,200,5.4,60
3,300,6.5,65
3,400,7.4,70
3,500,8.2,80
3,600,9.0,85
3,700,9.6,90
3,800,10.3,95
3,900,10.9,100
3,1000,7.1,100
4,0,3.2,45
4,100,4.1,50
4,200,5.0,60
4,300,6.2,65
4,400,7.1,70
4,500,8.1,80
4,600,8.9,85
4,700,9.4,90
4,800,10.0,95
4,900,10.7,100
4,1000,7.1,100
5,0,3.5,40
5,100,4.4,50
5,200,5.3,60
5,300,6.5,65
5,400,7.2,70
5,500,8.0,80
5,600,8.8,85
5,700,9.6,90
5,800,10.1,95
5,900,10.8,100
5,1000,7.1,100
6,0,3.3,50
6,100,4.2,55
6,200,5.1,60
6,300,6.3,65
6,400,7.0,75
6,500,8.1,80
6,600,8.7,85
6,700,9.3,90
6,800,9.9,95
6,900,10.6,100
6,1000,7.1,100
7,0,2.2,45
7,100,4.0,50
7,200,5.0,60
7,300,6.2,65
7,400,7.2,70
7,500,8.0,80
7,600,8.8,85
7,700,9.4,90
7,800,10.0,95
7,900,10.7,100
7,1000,7.1,100
8,0,2.0,40
8,100,4.3,50
8,200,5.4,60
8,300,6.5,65
8,400,7.3,70
8,500,8.1,80
8,600,8.9,85
8,700,9.6,90
8,800,10.3,95
8,900,10.9,100
8,1000,7.1,100
9,0,1.8,45
9,100,4.0,50
9,200,5.2,60
9,300,6.1,65
9,400,7.0,70
9,500,8.0,80
9,600,8.7,85
9,700,9.3,90
9,800,9.9,95
9,900,10.6,100
9,1000,7.1,100
